z,y_fixed,x_fixed,intensity_pixel_raw,intensity_pixel_scaled_1e-4,region_y,region_x,intensity_sum_region,intensity_sum_region_norm
5288,414,142,2.6834685e-05,0.26834685,411:417,139:145,0.0011398138,0.76783603
5289,414,142,5.75596e-05,0.575596,411:417,139:145,0.0013424255,0.9043255
5290,414,142,1.5937623e-05,0.15937623,411:417,139:145,0.0010591834,0.71351933
5291,414,142,3.139406e-05,0.3139406,411:417,139:145,0.0004658299,0.3138065
5292,414,142,-5.0815506e-06,-0.050815508,411:417,139:145,0.0007627484,0.5138258
5293,414,142,7.21168e-05,0.72116804,411:417,139:145,0.0008287457,0.5582849
5294,414,142,7.9382335e-05,0.79382336,411:417,139:145,0.001099598,0.74074465
5295,414,142,6.269298e-05,0.6269298,411:417,139:145,0.000620395,0.41792935
5296,414,142,2.2875425e-05,0.22875425,411:417,139:145,0.00092906295,0.6258636
5297,414,142,3.8425747e-05,0.3842575,411:417,139:145,0.0008332285,0.56130475
5298,414,142,-2.343121e-05,-0.2343121,411:417,139:145,0.0011776444,0.7933206
5299,414,142,4.219916e-05,0.42199162,411:417,139:145,0.0008418737,0.56712854
5300,414,142,7.1323644e-05,0.71323645,411:417,139:145,0.00058953254,0.39713883
5301,414,142,2.4401557e-05,0.24401557,411:417,139:145,0.0007372995,0.4966821
5302,414,142,5.465665e-05,0.54656655,411:417,139:145,0.00084451283,0.5689064
5303,414,142,7.539006e-05,0.75390065,411:417,139:145,0.0008774961,0.5911256
5304,414,142,5.2593234e-05,0.5259324,411:417,139:145,0.0014844495,1.0
5305,414,142,5.252119e-05,0.52521193,411:417,139:145,0.00060979655,0.4107897
5306,414,142,3.2316497e-05,0.32316497,411:417,139:145,0.00090493925,0.6096127
5307,414,142,9.9569865e-05,0.9956987,411:417,139:145,0.0005065942,0.34126738
5308,414,142,5.8038582e-05,0.58038586,411:417,139:145,0.0007625012,0.51365924
5309,414,142,-8.37339e-06,-0.08373391,411:417,139:145,0.00047243864,0.3182585
5310,414,142,9.010033e-06,0.09010033,411:417,139:145,0.0006002897,0.40438542
5311,414,142,-1.924792e-05,-0.19247921,411:417,139:145,0.00087685033,0.59069055
5312,414,142,4.5980072e-05,0.45980072,411:417,139:145,0.0010071794,0.6784868
5313,414,142,3.5759043e-05,0.35759044,411:417,139:145,0.0012034519,0.81070584
5314,414,142,2.4051427e-05,0.24051428,411:417,139:145,0.0008527412,0.5744494
5315,414,142,9.1873124e-05,0.9187313,411:417,139:145,0.0007562784,0.50946724
5316,414,142,-1.2830511e-05,-0.1283051,411:417,139:145,0.00064528326,0.43469533
5317,414,142,5.060505e-05,0.5060505,411:417,139:145,0.0010261193,0.69124573
5318,414,142,3.131307e-05,0.3131307,411:417,139:145,0.00034315194,0.23116444
